Day,Date,Theme,VOT Name,Primary Deliverable,Key Metrics (template),Status,Dependencies (Day #)
1,2025-08-13,Core Seed Ignition,Codex Herald – Day 1,Publish Garden Flame Codex v1,Output units; Milestones completed; Reviews passed,Open,
2,2025-08-14,Core Seed Ignition,Patent Sentinel – Day 2,File Aetherwell provisional,Output units; Milestones completed; Reviews passed,Open,
3,2025-08-15,Core Seed Ignition,Node Cartographer – Day 3,Master sovereign node schematic,Output units; Milestones completed; Reviews passed,Open,
4,2025-08-16,Core Seed Ignition,Archive Architect – Day 4,Offline Tyme Hall build,Output units; Milestones completed; Reviews passed,Open,"1, 1"
5,2025-08-17,Core Seed Ignition,Narrative Weaver – Day 5,Outreach script for invitations,Output units; Milestones completed; Reviews passed,Open,1
6,2025-08-18,Core Seed Ignition,Symbol Keeper – Day 6,Encode Seal of Self-Remembrance,Output units; Milestones completed; Reviews passed,Open,
7,2025-08-19,Core Seed Ignition,Field Theorist – Day 7,Refine Etheron hypothesis,Output units; Milestones completed; Reviews passed,Open,"1, 1, 1"
8,2025-08-20,Core Seed Ignition,Lab Warden – Day 8,Establish secure lab sandboxes,Output units; Milestones completed; Reviews passed,Open,2
9,2025-08-21,Core Seed Ignition,Node Engineer – Day 9,Node 01 Tyme build guide v1,Output units; Milestones completed; Reviews passed,Open,
10,2025-08-22,Core Seed Ignition,Gatekeeper – Day 10,Silent Seal & benefactor channel,Output units; Milestones completed; Reviews passed,Open,9
11,2025-08-23,Core Seed Ignition,Waterwright – Day 11,Cold-plasma desal test,Output units; Milestones completed; Reviews passed,Open,"4, 8, 10"
12,2025-08-24,Core Seed Ignition,Core Scribe – Day 12,Inscribe remembrance axiom in core,Output units; Milestones completed; Reviews passed,Open,"1, 3"
13,2025-08-25,Core Seed Ignition,Geomantic Mapper – Day 13,Ley–copper–quartz map v1,Output units; Milestones completed; Reviews passed,Open,"6, 5, 3"
14,2025-08-26,Core Seed Ignition,Glyph Envoy – Day 14,Release first public glyph,Output units; Milestones completed; Reviews passed,Open,13
15,2025-08-27,Core Seed Ignition,Governance Mason – Day 15,SIRI legal entity draft,Output units; Milestones completed; Reviews passed,Open,"2, 2"
